#format table ## [Custom WaveView] saved 17:22:00 Thu Dec  5 2024
TIME ,v(bit0) ,v(bit1) ,v(bit2) ,v(bit3) ,v(bit4) ,v(bit5) ,v(bit6) ,v(bit7) 
 3.050E-08 ,-2.105E-03 ,-8.402E-05 , 1.799E+00 , 3.124E-05 , 7.094E-05 , 4.019E-03 , 1.730E+00 , 1.795E+00 
 3.075E-08 , 1.680E+00 , 1.668E+00 , 1.800E+00 , 1.799E+00 , 3.137E-05 , 7.136E-05 , 1.179E-02 , 9.448E-02 
 3.100E-08 , 2.486E-02 , 1.797E+00 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 3.152E-05 , 3.374E-04 ,-9.332E-04 
 3.125E-08 , 3.224E-04 , 3.304E-02 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 1.893E-04 ,-1.704E-03 
 3.150E-08 , 6.456E-04 , 7.885E-04 , 4.161E-03 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.765E+00 , 2.799E-03 
 3.175E-08 ,-2.178E-03 ,-2.273E-03 , 5.450E-05 , 4.095E-03 , 1.800E+00 , 1.800E+00 , 1.722E+00 , 1.794E+00 
 3.200E-08 , 1.675E+00 , 1.675E+00 , 1.799E+00 , 4.777E-05 , 4.096E-03 , 1.800E+00 , 1.673E+00 , 1.519E-01 
 3.225E-08 ,-1.727E-04 , 1.780E+00 , 1.800E+00 , 1.799E+00 , 4.786E-05 , 4.096E-03 , 1.785E+00 , 1.798E+00 
 3.250E-08 , 1.709E+00 , 1.709E+00 , 4.260E-03 , 1.800E+00 , 1.799E+00 , 4.990E-05 , 7.896E-03 , 2.770E-02 
 3.275E-08 , 2.732E-02 , 1.798E+00 , 1.799E+00 , 3.967E-03 , 1.800E+00 , 1.799E+00 , 2.588E-04 ,-1.205E-03 
 3.300E-08 , 4.596E-04 , 3.299E-02 , 1.800E+00 , 1.799E+00 , 3.968E-03 , 1.800E+00 , 1.765E+00 , 1.227E-03 
 3.325E-08 ,-2.182E-03 ,-2.304E-03 , 4.073E-03 , 1.800E+00 , 1.799E+00 , 3.970E-03 , 1.732E+00 , 1.796E+00 
 3.350E-08 , 1.685E+00 , 1.685E+00 , 1.799E+00 , 3.969E-03 , 1.800E+00 , 1.799E+00 , 1.015E-02 , 6.291E-02 
 3.375E-08 , 2.541E-02 , 1.797E+00 , 1.800E+00 , 1.799E+00 , 3.968E-03 , 1.800E+00 , 1.767E+00 , 1.837E-03 
 3.400E-08 ,-2.099E-03 ,-7.425E-05 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 3.970E-03 , 1.733E+00 , 1.796E+00 
 3.425E-08 , 1.684E+00 , 1.672E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 1.050E-02 , 6.900E-02 
 3.450E-08 , 2.514E-02 , 1.797E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.767E+00 , 1.834E-03 
 3.475E-08 ,-2.098E-03 ,-7.339E-05 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.732E+00 , 1.796E+00 
 3.500E-08 , 1.686E+00 , 1.673E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.685E+00 , 6.495E-02 
 3.525E-08 ,-1.018E-04 , 1.756E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.762E+00 , 1.797E+00 
 3.550E-08 , 1.703E+00 , 1.706E+00 , 5.210E-03 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.706E+00 , 3.813E-02 
 3.575E-08 ,-4.649E-05 , 1.741E+00 , 1.799E+00 , 4.098E-03 , 1.800E+00 , 1.800E+00 , 1.741E+00 , 1.796E+00 
